ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,rent_cpi_index,rent_cpi_index_lower,rent_cpi_index_upper,unemployment_rate,unemployment_rate_lower,unemployment_rate_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2010-12-31,1632430.7187029999,308815343.90413636,310454974.3596454,1632430.7187029999,1632430.7187029999,307962775.63803726,307962775.63803726,307962775.63803726,-7091481.055389609,-7091481.055389609,-7091481.055389609,-3970458.5883004037,-3970458.5883004037,-3970458.5883004037,-3121022.467089206,-3121022.467089206,-3121022.467089206,315054256.6934269,315054256.6934269,315054256.6934269,0.0,0.0,0.0,309595206.35674024
2011-12-31,2878734.45464931,310093283.2194102,311697247.47104174,2878734.45464931,2878734.45464931,308027171.5673763,308027171.5673763,308027171.5673763,-6329510.104575427,-6329510.104575427,-6329510.104575427,-3761424.688742184,-3761424.688742184,-3761424.688742184,-2568085.415833243,-2568085.415833243,-2568085.415833243,314356681.6719518,314356681.6719518,314356681.6719518,0.0,0.0,0.0,310905906.02202564
2012-12-31,4118830.228093504,313443316.9300639,315060445.04502785,4118830.228093504,4118830.228093504,310147748.2859886,310147748.2859886,310147748.2859886,-5257630.715644917,-5257630.715644917,-5257630.715644917,-3392662.7847420927,-3392662.7847420927,-3392662.7847420927,-1864967.9309028252,-1864967.9309028252,-1864967.9309028252,315405379.0016335,315405379.0016335,315405379.0016335,0.0,0.0,0.0,314266578.51408213
2013-12-31,5356031.243313069,315737177.7373104,317360132.70114154,5356031.243313069,5356031.243313069,311148456.51763856,311148456.51763856,311148456.51763856,-4261598.100678379,-4261598.100678379,-4261598.100678379,-2983699.137775712,-2983699.137775712,-2983699.137775712,-1277898.9629026672,-1277898.9629026672,-1277898.9629026672,315410054.61831695,315410054.61831695,315410054.61831695,0.0,0.0,0.0,316504487.76095164
2014-12-31,6611064.530793148,318111290.7748013,319687995.6475933,6611064.530793148,6611064.530793148,312275855.4278834,312275855.4278834,312275855.4278834,-2778401.265519265,-2778401.265519265,-2778401.265519265,-2483501.504849418,-2483501.504849418,-2483501.504849418,-294899.7606698472,-294899.7606698472,-294899.7606698472,315054256.6934026,315054256.6934026,315054256.6934026,0.0,0.0,0.0,318886919.9586765
2015-12-31,7866097.817027925,319958336.87817055,321482987.36202705,7866097.817027925,7866097.817027925,312868404.9256743,312868404.9256743,312868404.9256743,-1488276.7462370081,-1488276.7462370081,-1488276.7462370081,-1916973.6205440988,-1916973.6205440988,-1916973.6205440988,428696.87430709065,428696.87430709065,428696.87430709065,314356681.6719113,314356681.6719113,314356681.6719113,0.0,0.0,0.0,320734502.74270225
2016-12-31,8700933.805751778,322899638.8762845,324413482.7439339,8700933.805751778,8700933.805751778,314905709.1062298,314905709.1062298,314905709.1062298,-499669.8955210389,-499669.8955210389,-499669.8955210389,-1256033.1705724034,-1256033.1705724034,-1256033.1705724034,756363.2750513644,756363.2750513644,756363.2750513644,315405379.0017508,315405379.0017508,315405379.0017508,0.0,0.0,0.0,323606642.9119816
2017-12-31,9533488.827875586,324709626.62427384,326324533.0205387,9533488.827875586,9533488.827875586,316015113.81171787,316015113.81171787,316015113.81171787,605059.1934283391,605059.1934283391,605059.1934283391,-574539.8492510454,-574539.8492510454,-574539.8492510454,1179599.0426793846,1179599.0426793846,1179599.0426793846,315410054.61828953,315410054.61828953,315410054.61828953,0.0,0.0,0.0,325548602.6395935
2018-12-31,10366043.848494254,326266487.7368779,327918612.78431976,10366043.848494254,10366043.848494254,316744724.34669834,316744724.34669834,316744724.34669834,1690467.6533139788,1690467.6533139788,1690467.6533139788,128591.1430996089,128591.1430996089,128591.1430996089,1561876.51021437,1561876.51021437,1561876.51021437,315054256.69338435,315054256.69338435,315054256.69338435,0.0,0.0,0.0,327110768.1951926
2019-12-31,11198598.868854877,327409174.85419965,329007567.3718642,11198598.868854877,11198598.868854877,316958595.5917207,316958595.5917207,316958595.5917207,2601913.91975893,2601913.91975893,2601913.91975893,862551.4424747447,862551.4424747447,862551.4424747447,1739362.477284185,1739362.477284185,1739362.477284185,314356681.6719618,314356681.6719618,314356681.6719618,0.0,0.0,0.0,328157194.4605756
